beta	population	links	attackRate	error
3.5	1.42186e+06	7480	48116.2	380.356
3.5	1.58981e+06	8415	57594.1	257.211
3.5	1.75669e+06	9350	64131	203.55
3.5	1.91265e+06	10285	69244	247.546
3.5	2.0417e+06	11220	72418.4	224.956
3.5	2.15583e+06	12155	74781.2	176.446
3.5	2.34098e+06	13090	77859	122.39
3.5	2.52223e+06	14025	80638.5	160.644
3.5	2.70005e+06	14960	82708.6	207.665
3.5	2.85691e+06	15895	84335.2	201.294
3.5	3.0033e+06	16830	85505.5	166.371
3.5	3.11534e+06	17765	86449.2	155.245
3.5	3.22229e+06	18700	87229.8	158.797
3.5	3.33611e+06	19635	87789.7	154.951
3.5	3.44043e+06	20570	88626.1	107.38
3.5	3.53627e+06	21505	89016.8	104.061
3.5	3.65053e+06	22440	89752.9	117.723
3.5	3.77772e+06	23375	90410.2	87.8014
3.5	3.95373e+06	24310	91274.1	86.7979
3.5	4.19736e+06	25245	92068.1	132.049
3.5	4.34087e+06	26180	92706.1	155.253
3.5	4.52722e+06	27115	93414	127.39
3.5	4.75704e+06	28050	94028.9	129.589
3.5	4.90547e+06	28985	94268.5	95.6713
3.5	5.08715e+06	29920	94759.5	121.671
3.5	5.33476e+06	30855	95396.3	105.694
3.5	5.5742e+06	31790	95899.6	101.786
3.75	300638	1870	2756.88	27.5555
3.75	477854	2805	2798.21	25.8636
3.75	619173	3740	2840.33	33.3091
3.75	814518	4675	3104.75	94.1512
3.75	1.01534e+06	5610	14738.7	1379.24
3.75	1.17552e+06	6545	37609.1	552.65
3.75	1.42186e+06	7480	57183.6	258.297
3.75	1.58981e+06	8415	65199.3	234.089
3.75	1.75669e+06	9350	71152.1	212
3.75	1.91265e+06	10285	75491	178.272
3.75	2.0417e+06	11220	78356.4	138.822
3.75	2.15583e+06	12155	80479.5	147.92
3.75	2.34098e+06	13090	83326.2	163.37
3.75	2.52223e+06	14025	85756.7	99.5396
3.75	2.70005e+06	14960	87574.7	147.715
3.75	2.85691e+06	15895	89014.5	132.413
3.75	3.0033e+06	16830	90122.9	114.694
3.75	3.11534e+06	17765	90990.6	125.382
3.75	3.22229e+06	18700	91608.6	115.659
3.75	3.33611e+06	19635	92329.5	142.232
3.75	3.44043e+06	20570	92856.7	137.448
3.75	3.53627e+06	21505	93246.2	102.789
3.75	3.65053e+06	22440	93883.9	126.029
3.75	3.77772e+06	23375	94479.5	97.4
3.75	3.95373e+06	24310	95170.3	113.223
3.75	4.19736e+06	25245	96111.7	120.9
3.75	4.34087e+06	26180	96588.9	111.709
3.75	4.52722e+06	27115	97001.2	106.107
3.75	4.75704e+06	28050	97661.2	109.718
3.75	4.90547e+06	28985	98094.1	82.1406
3.75	5.08715e+06	29920	98500.6	100.208
3.75	5.33476e+06	30855	99064	86.7584
3.75	5.5742e+06	31790	99401.5	111.995
4	300638	1870	2797.42	29.3957
4	477854	2805	2811.21	31.9078
4	619173	3740	2865.21	33.3572
4	814518	4675	3386.38	161.951
4	1.01534e+06	5610	26862.8	791.907
4	1.17552e+06	6545	46829.7	287.585
4	1.42186e+06	7480	63988.8	266.359
4	1.58981e+06	8415	71328	241.683
4	1.75669e+06	9350	76950.9	196.161
4	1.91265e+06	10285	80921.6	160.661
4	2.0417e+06	11220	83370.7	170.734
4	2.15583e+06	12155	85262.1	168.251
4	2.34098e+06	13090	87954.7	149.674
4	2.52223e+06	14025	89968.8	135.993
4	2.70005e+06	14960	91623.7	122.776
4	2.85691e+06	15895	92862.8	125.036
4	3.0033e+06	16830	93830.8	114.465
4	3.11534e+06	17765	94628.4	96.4116
4	3.22229e+06	18700	95329.5	98.5814
4	3.33611e+06	19635	95940.3	133.179
4	3.44043e+06	20570	96410.7	107.711
4	3.53627e+06	21505	96942.7	104.872
4	3.65053e+06	22440	97419.8	91.0588
4	3.77772e+06	23375	97894.7	95.3105
4	3.95373e+06	24310	98601.2	99.2955
4	4.19736e+06	25245	99408	91.0201
4	4.34087e+06	26180	99890.3	102.28
4	4.52722e+06	27115	100210	89.4462
4	4.75704e+06	28050	100817	87.3825
4	4.90547e+06	28985	101259	111.782
4	5.08715e+06	29920	101589	89.949
4	5.33476e+06	30855	102093	114.039
4	5.5742e+06	31790	102456	91.6495
